timestamp,x(m),y(m),theta(rad)
1746001637.370235,1.000031,0.999930,2.094994
1746001637.420158,1.000024,0.999944,2.095010
1746001637.470338,1.000024,0.999944,2.095010
1746001637.520195,1.000052,0.999947,2.095014
1746001637.570319,1.000043,0.999935,2.095018
1746001637.620239,1.000043,0.999935,2.095018
1746001637.670208,1.000036,0.999943,2.094999
1746001637.720168,1.000018,0.999962,2.094996
1746001637.770229,1.000018,0.999962,2.094996
1746001637.820311,1.000030,0.999919,2.094989
1746001637.870273,1.000001,0.999929,2.094988
1746001637.920264,1.000045,0.999925,2.094986
1746001637.970224,1.000033,0.999939,2.095000
1746001638.020169,1.000011,0.999922,2.095010
1746001638.070230,1.000025,0.999924,2.094999
1746001638.120194,1.000025,0.999924,2.094999
1746001638.170274,1.000025,0.999924,2.094999
1746001638.220218,1.000032,0.999904,2.094977
1746001638.270172,0.999989,0.999927,2.094961
1746001638.320265,1.000034,0.999902,2.094966
1746001638.370199,1.000019,0.999904,2.094973
1746001638.420326,1.000015,0.999922,2.094975
1746001638.470300,1.000046,0.999907,2.094975
1746001638.520211,1.000001,0.999914,2.094964
1746001638.570271,1.000035,0.999912,2.094967
1746001638.620183,1.000035,0.999912,2.094967
1746001638.670266,0.999991,0.999936,2.094968
1746001638.720144,1.000019,0.999914,2.094999
1746001638.770226,0.999980,0.999931,2.094995
1746001638.820356,0.999989,0.999902,2.095002
1746001638.870140,1.000014,0.999902,2.095010
1746001638.920116,0.999974,0.999927,2.095018
1746001638.970217,1.000005,0.999910,2.095012
1746001639.020127,1.000020,0.999893,2.095022
1746001639.070261,0.999993,0.999926,2.095025
1746001639.120320,1.000005,0.999901,2.095043
1746001639.170325,1.000005,0.999901,2.095043
1746001639.220257,1.000005,0.999901,2.095043
1746001639.270268,1.000005,0.999901,2.095043
1746001639.320218,1.000007,0.999895,2.095049
1746001639.370186,0.999963,0.999924,2.095060
1746001639.420288,0.999963,0.999924,2.095060
1746001639.470253,0.999991,0.999910,2.095089
1746001639.520151,0.999991,0.999910,2.095089
1746001639.570197,1.000013,0.999886,2.095112
1746001639.620290,0.999997,0.999894,2.095119
1746001639.670163,0.999976,0.999925,2.095120
1746001639.720214,0.999986,0.999907,2.095133
1746001639.770330,0.999986,0.999907,2.095133
1746001639.820135,1.000005,0.999899,2.095133
1746001639.870281,0.999988,0.999914,2.095137
1746001639.920167,1.000011,0.999899,2.095137
1746001639.970363,0.999962,0.999911,2.095149
