timestamp,x(m),y(m),theta(rad)
1746002293.649663,1.000097,1.000023,1.571157
1746002293.699640,1.000087,1.000082,1.571148
1746002293.749871,1.000087,1.000082,1.571148
1746002293.799770,1.000091,1.000068,1.571116
1746002293.849609,1.000110,1.000040,1.571110
1746002293.899736,1.000105,1.000073,1.571113
1746002293.949770,1.000093,1.000059,1.571119
1746002293.999825,1.000119,1.000015,1.571123
1746002294.049753,1.000119,1.000015,1.571123
1746002294.099627,1.000119,1.000015,1.571123
1746002294.149624,1.000105,1.000013,1.571123
1746002294.199837,1.000092,1.000054,1.571128
1746002294.249785,1.000128,1.000042,1.571145
1746002294.299776,1.000121,1.000033,1.571159
1746002294.349721,1.000103,1.000059,1.571164
1746002294.399776,1.000130,1.000032,1.571173
1746002294.449651,1.000106,1.000032,1.571167
1746002294.499696,1.000106,1.000032,1.571167
1746002294.549680,1.000097,1.000051,1.571158
1746002294.599910,1.000090,1.000081,1.571150
1746002294.649857,1.000090,1.000081,1.571150
1746002294.699916,1.000112,1.000006,1.571171
1746002294.749693,1.000103,1.000050,1.571168
1746002294.799734,1.000123,1.000021,1.571156
1746002294.849891,1.000126,1.000035,1.571160
1746002294.899749,1.000116,1.000045,1.571159
1746002294.949759,1.000124,1.000013,1.571153
1746002294.999801,1.000124,1.000013,1.571153
1746002295.049730,1.000128,1.000011,1.571179
1746002295.099689,1.000124,1.000046,1.571183
1746002295.149718,1.000124,1.000046,1.571183
1746002295.199667,1.000124,1.000046,1.571183
1746002295.249672,1.000128,1.000049,1.571198
1746002295.299700,1.000128,1.000049,1.571198
1746002295.349613,1.000121,1.000022,1.571225
1746002295.399673,1.000112,1.000067,1.571219
1746002295.449661,1.000123,1.000025,1.571229
1746002295.499870,1.000123,1.000025,1.571229
1746002295.549757,1.000085,1.000067,1.571218
1746002295.599738,1.000142,1.000035,1.571224
1746002295.649603,1.000129,1.000061,1.571214
1746002295.699731,1.000148,1.000030,1.571220
1746002295.749704,1.000148,1.000030,1.571220
1746002295.799640,1.000123,1.000074,1.571213
1746002295.849747,1.000123,1.000074,1.571213
1746002295.899726,1.000105,1.000063,1.571257
1746002295.949687,1.000145,1.000024,1.571273
1746002295.999683,1.000123,1.000050,1.571298
1746002296.049654,1.000124,1.000018,1.571305
1746002296.099602,1.000142,1.000027,1.571313
1746002296.149735,1.000139,1.000076,1.571316
1746002296.199690,1.000133,1.000031,1.571311
1746002296.249613,1.000095,1.000018,1.571290
1746002296.299659,1.000109,1.000071,1.571274
1746002296.349702,1.000109,1.000071,1.571274
1746002296.399774,1.000103,1.000040,1.571331
1746002296.449785,1.000128,1.000056,1.571347
1746002296.499712,1.000135,1.000003,1.571343
1746002296.549581,1.000122,1.000017,1.571334
1746002296.599833,1.000148,1.000013,1.571324
1746002296.649801,1.000138,1.000039,1.571313
1746002296.699662,1.000122,1.000012,1.571305
1746002296.749744,1.000144,1.000027,1.571312
1746002296.799775,1.000142,1.000036,1.571313
1746002296.849679,1.000142,1.000036,1.571313
1746002296.899863,1.000122,1.000040,1.571317
1746002296.949749,1.000143,1.000036,1.571315
1746002296.999635,1.000170,1.000015,1.571319
1746002297.049860,1.000170,1.000015,1.571319
1746002297.099703,1.000164,1.000026,1.571313
1746002297.149689,1.000153,0.999987,1.571322
1746002297.199697,1.000131,1.000003,1.571327
1746002297.249825,1.000131,1.000003,1.571327
1746002297.299867,1.000163,1.000030,1.571328
1746002297.349714,1.000156,1.000000,1.571341
1746002297.399837,1.000139,1.000032,1.571334
1746002297.449734,1.000139,1.000032,1.571334
1746002297.499881,1.000156,1.000013,1.571323
1746002297.550401,1.000156,1.000013,1.571323
1746002297.599874,1.000156,1.000013,1.571323
1746002297.649682,1.000116,1.000036,1.571332
1746002297.699697,1.000166,1.000021,1.571327
1746002297.749763,1.000120,1.000014,1.571326
1746002297.799781,1.000120,1.000014,1.571326
1746002297.849873,1.001811,1.002104,1.565877
1746002297.899753,1.003405,1.005795,1.557951
1746002297.949792,1.002764,1.009080,1.560941
1746002297.999866,1.002523,1.012919,1.569358
1746002298.049759,1.005074,1.016774,1.570481
1746002298.099783,1.005074,1.016774,1.570481
1746002298.149960,1.005074,1.016774,1.570481
1746002298.199722,1.003440,1.028420,1.600237
1746002298.249707,1.004555,1.031864,1.603010
1746002298.299667,1.004555,1.031864,1.603010
1746002298.349908,0.998894,1.038705,1.635989
1746002298.399682,0.998894,1.038705,1.635989
1746002298.449939,0.996412,1.049428,1.648950
1746002298.499668,0.996256,1.053536,1.644497
1746002298.549669,0.994231,1.057655,1.645143
1746002298.599751,0.992623,1.062115,1.648138
1746002298.649917,0.994333,1.066116,1.638654
1746002298.699699,0.994816,1.069839,1.627697
1746002298.749711,0.994498,1.073881,1.621707
1746002298.799715,0.994498,1.073881,1.621707
1746002298.849894,0.995437,1.082239,1.604603
1746002298.899664,0.996118,1.086148,1.596812
1746002298.949595,0.998130,1.090266,1.584520
1746002298.999676,1.000227,1.094893,1.569054
1746002299.049679,0.999061,1.101411,1.560627
1746002299.099617,0.999725,1.107025,1.552117
1746002299.149731,0.999725,1.107025,1.552117
1746002299.199735,1.001071,1.115629,1.528944
1746002299.249871,1.001071,1.115629,1.528944
1746002299.299877,0.999305,1.123177,1.527527
1746002299.349761,0.999829,1.127355,1.520246
1746002299.399841,0.999829,1.127355,1.520246
1746002299.449765,0.996275,1.136635,1.523309
1746002299.499792,0.996275,1.136635,1.523309
1746002299.549708,0.998347,1.145461,1.524448
1746002299.599697,0.997328,1.148896,1.531583
1746002299.649667,0.996633,1.153249,1.542502
1746002299.699725,0.997874,1.157046,1.546300
1746002299.749792,0.998514,1.160783,1.546731
1746002299.799751,0.997102,1.164680,1.557231
1746002299.849897,0.997832,1.168973,1.564613
1746002299.899730,0.999940,1.172319,1.561840
1746002299.949815,1.000719,1.177525,1.558501
1746002299.999711,0.999866,1.181682,1.561033
1746002300.049703,1.001355,1.184943,1.555736
1746002300.099652,1.001355,1.184943,1.555736
1746002300.149682,1.000617,1.194372,1.553827
1746002300.199694,1.001676,1.197837,1.553954
1746002300.249709,1.004278,1.201621,1.544516
1746002300.299682,1.003953,1.206577,1.544431
1746002300.349843,1.003953,1.206577,1.544431
1746002300.399722,1.004477,1.213768,1.558548
1746002300.449782,1.004477,1.213768,1.558548
1746002300.499798,1.004477,1.213768,1.558548
1746002300.549817,1.001912,1.226001,1.586345
1746002300.599776,1.001912,1.226001,1.586345
1746002300.649680,1.003244,1.234622,1.596790
1746002300.699669,1.001078,1.238079,1.611738
1746002300.749664,0.999095,1.241631,1.625305
1746002300.799853,0.998489,1.246483,1.630470
1746002300.849851,0.999371,1.250974,1.626116
1746002300.899591,0.997708,1.254611,1.625430
1746002300.949703,0.995726,1.258680,1.629653
1746002300.999740,0.997129,1.262460,1.622890
1746002301.049898,0.997129,1.262460,1.622890
1746002301.099736,0.997129,1.262460,1.622890
1746002301.149704,0.998021,1.273418,1.596841
1746002301.199664,1.000634,1.276815,1.580361
1746002301.249803,1.000483,1.281279,1.571637
1746002301.299679,1.000483,1.281279,1.571637
1746002301.349711,1.003875,1.289746,1.550954
1746002301.399665,1.004482,1.295192,1.542989
1746002301.449980,1.005073,1.300412,1.536196
1746002301.499791,1.006134,1.304733,1.528570
1746002301.549702,1.006664,1.308844,1.525138
1746002301.599649,1.007604,1.313335,1.523480
1746002301.649793,1.007604,1.313335,1.523480
1746002301.699730,1.005986,1.321063,1.540175
1746002301.749723,1.005986,1.321063,1.540175
1746002301.799668,1.006628,1.328983,1.547468
1746002301.849777,1.003875,1.332047,1.565818
1746002301.899698,1.003077,1.337708,1.581008
1746002301.949732,1.002514,1.343528,1.589256
1746002301.999681,1.000672,1.346680,1.598037
1746002302.049719,0.999189,1.351000,1.604748
1746002302.099850,0.999401,1.354839,1.602242
1746002302.149736,0.999401,1.354839,1.602242
1746002302.199669,0.999401,1.354839,1.602242
1746002302.249707,0.999801,1.367974,1.585074
1746002302.299671,1.000200,1.372892,1.580268
1746002302.349713,1.000775,1.378773,1.572823
1746002302.399674,1.000775,1.378773,1.572823
1746002302.449721,1.002275,1.389014,1.554579
1746002302.499677,1.003357,1.394320,1.544154
1746002302.549745,1.003971,1.399690,1.534287
1746002302.599829,1.003971,1.399690,1.534287
1746002302.649660,1.005736,1.408366,1.514328
1746002302.699596,1.004058,1.412483,1.512386
1746002302.749712,1.004058,1.412483,1.512386
1746002302.799695,1.004058,1.412483,1.512386
1746002302.849653,1.003944,1.424544,1.499722
1746002302.899755,1.002345,1.428593,1.501051
1746002302.949659,1.002345,1.428593,1.501051
1746002302.999760,1.002222,1.435821,1.490516
1746002303.049716,0.998999,1.439644,1.494952
1746002303.099758,0.997959,1.444575,1.498040
1746002303.149717,0.998551,1.450113,1.493654
1746002303.199775,0.998551,1.450113,1.493654
1746002303.249786,0.997564,1.458946,1.490863
1746002303.299873,0.997564,1.458946,1.490863
1746002303.349740,0.999788,1.468560,1.478710
1746002303.399742,1.000268,1.473797,1.472981
1746002303.449669,1.001202,1.477602,1.465760
1746002303.499753,1.002368,1.481235,1.457364
1746002303.549710,1.003235,1.485999,1.453027
1746002303.599656,1.003235,1.485999,1.453027
1746002303.649960,1.005307,1.494996,1.442012
1746002303.699748,1.006618,1.499751,1.436453
1746002303.749708,1.008045,1.504634,1.430484
1746002303.799812,1.008045,1.504634,1.430484
1746002303.849684,1.008045,1.504634,1.430484
1746002303.899827,1.011176,1.517213,1.410374
1746002303.949783,1.011977,1.520911,1.401449
1746002303.999696,1.012520,1.524134,1.395334
1746002304.049653,1.012520,1.524134,1.395334
1746002304.099802,1.013951,1.532275,1.383289
1746002304.149729,1.014464,1.536152,1.376832
1746002304.199754,1.014968,1.541142,1.371514
1746002304.249700,1.016225,1.545156,1.363253
1746002304.299884,1.016495,1.549514,1.356886
1746002304.349673,1.015223,1.554262,1.358628
1746002304.399843,1.016981,1.558245,1.353452
1746002304.449610,1.016981,1.558245,1.353452
1746002304.499607,1.019118,1.567386,1.339598
1746002304.549848,1.020268,1.571674,1.334977
1746002304.599610,1.020268,1.571674,1.334977
1746002304.649639,1.024009,1.579162,1.315807
1746002304.699671,1.025157,1.583158,1.308775
1746002304.749679,1.026907,1.588430,1.303046
1746002304.799697,1.029171,1.593954,1.297194
1746002304.849710,1.029171,1.593954,1.297194
1746002304.899583,1.032855,1.602813,1.284387
1746002304.949701,1.032855,1.602813,1.284387
1746002304.999730,1.034370,1.607389,1.279932
1746002305.049633,1.034370,1.607389,1.279932
1746002305.099672,1.038877,1.621191,1.264727
1746002305.149670,1.040602,1.625601,1.255236
1746002305.199666,1.041830,1.628777,1.248253
1746002305.249847,1.043006,1.632275,1.244887
1746002305.299712,1.044614,1.636549,1.240733
1746002305.349623,1.044900,1.641315,1.238125
1746002305.399794,1.044900,1.641315,1.238125
1746002305.449755,1.047942,1.647971,1.221059
1746002305.499691,1.049786,1.651806,1.206384
1746002305.549662,1.049786,1.651806,1.206384
1746002305.599794,1.051413,1.659758,1.196715
1746002305.649791,1.054158,1.662393,1.184129
1746002305.699759,1.055093,1.666475,1.180253
1746002305.749720,1.056576,1.670541,1.177944
1746002305.799572,1.058526,1.674688,1.174736
1746002305.849888,1.058526,1.674688,1.174736
1746002305.899796,1.062943,1.681715,1.173109
1746002305.949626,1.065212,1.686692,1.176054
1746002305.999590,1.067851,1.691780,1.178981
1746002306.049658,1.067851,1.691780,1.178981
1746002306.099730,1.072168,1.696539,1.181907
1746002306.149813,1.072168,1.696539,1.181907
1746002306.199861,1.072168,1.696539,1.181907
1746002306.249762,1.075997,1.702733,1.187188
1746002306.299728,1.080133,1.711744,1.194784
1746002306.349778,1.082002,1.716013,1.198242
1746002306.399586,1.083894,1.720494,1.200694
1746002306.449641,1.085341,1.724051,1.205035
1746002306.499786,1.086744,1.727822,1.209491
1746002306.549727,1.087807,1.732542,1.214720
1746002306.599694,1.089747,1.736134,1.215491
1746002306.649880,1.089747,1.736134,1.215491
1746002306.699710,1.091828,1.740205,1.208505
1746002306.749770,1.091828,1.740205,1.208505
1746002306.799677,1.092901,1.751683,1.205826
1746002306.849718,1.095206,1.754770,1.192811
1746002306.899672,1.094792,1.758639,1.192355
1746002306.949945,1.096702,1.762679,1.191965
1746002306.999674,1.100112,1.766364,1.184314
1746002307.049701,1.101348,1.770500,1.180989
1746002307.099663,1.101975,1.773218,1.181459
1746002307.149659,1.103955,1.777917,1.184097
1746002307.199658,1.103955,1.777917,1.184097
1746002307.249717,1.103955,1.777917,1.184097
1746002307.299675,1.111470,1.790325,1.190583
1746002307.349672,1.113827,1.794298,1.193143
1746002307.399740,1.115962,1.798196,1.196165
1746002307.449723,1.115962,1.798196,1.196165
1746002307.499671,1.120755,1.807421,1.203168
1746002307.549695,1.122848,1.812182,1.206491
1746002307.599709,1.124904,1.816653,1.209339
1746002307.649647,1.126629,1.821056,1.211745
1746002307.699707,1.127781,1.824450,1.216161
1746002307.749633,1.127781,1.824450,1.216161
1746002307.799613,1.127781,1.824450,1.216161
1746002307.849718,1.131703,1.837833,1.216905
1746002307.899602,1.133521,1.840909,1.215337
1746002307.949715,1.134594,1.845073,1.213806
1746002307.999668,1.134238,1.849380,1.218904
1746002308.049758,1.136251,1.852526,1.217531
1746002308.099717,1.138349,1.855705,1.212573
1746002308.149762,1.139052,1.859578,1.214385
1746002308.199703,1.140307,1.863609,1.218390
1746002308.249692,1.140307,1.863609,1.218390
1746002308.299713,1.144782,1.869578,1.218173
1746002308.349692,1.146739,1.873014,1.219386
1746002308.399665,1.148946,1.878240,1.222439
1746002308.449777,1.151725,1.882673,1.224664
1746002308.499713,1.154535,1.884988,1.221310
1746002308.549854,1.154535,1.884988,1.221310
1746002308.599680,1.159155,1.893067,1.221360
1746002308.649784,1.160276,1.897144,1.227610
1746002308.699843,1.162245,1.901213,1.230029
1746002308.749715,1.164129,1.903859,1.230579
1746002308.799721,1.164129,1.903859,1.230579
1746002308.849840,1.165809,1.911501,1.243610
1746002308.899686,1.165833,1.914879,1.254206
1746002308.949723,1.167190,1.919227,1.262765
1746002308.999680,1.167190,1.919227,1.262765
1746002309.049711,1.167327,1.922732,1.272419
1746002309.099677,1.165547,1.931768,1.301955
1746002309.149924,1.166857,1.937024,1.308069
1746002309.199709,1.167793,1.941477,1.313514
1746002309.249713,1.168319,1.945820,1.319501
1746002309.299614,1.168319,1.945820,1.319501
1746002309.349815,1.168014,1.949914,1.327040
1746002309.399670,1.168014,1.949914,1.327040
1746002309.449668,1.172174,1.962485,1.309514
1746002309.499746,1.172098,1.967492,1.304394
1746002309.549747,1.172098,1.967492,1.304394
1746002309.599915,1.175770,1.974429,1.285563
1746002309.649733,1.177949,1.978262,1.276835
1746002309.699708,1.179625,1.982794,1.271139
1746002309.749748,1.181191,1.986855,1.265782
1746002309.799827,1.181191,1.986855,1.265782
1746002309.849724,1.185656,1.993053,1.252676
1746002309.899699,1.187694,1.996662,1.252458
1746002309.949703,1.187694,1.996662,1.252458
1746002309.999609,1.189837,2.005060,1.264678
1746002310.049728,1.189837,2.005060,1.264678
1746002310.099676,1.192140,2.013857,1.276621
